smiles,logP,qed,SAS,Canonical_SMILES,Random_SMILES_1,Random_SMILES_2,NonIsomeric_SMILES,Kekule_SMILES,SMILES_with_Hs,Branchless_SMILES,SMILES_2D
"CCOc1ccc(OCC)c([C@H]2C(C#N)=C(N)N(c3ccccc3C(F)(F)F)C3=C2C(=O)CCC3)c1
",5.80758,0.533054503,3.173202334,CCOc1ccc(OCC)c([C@H]2C(C#N)=C(N)N(c3ccccc3C(F)(F)F)C3=C2C(=O)CCC3)c1,CCOc1c([C@H]2C(=C(N(c3ccccc3C(F)(F)F)C3=C2C(CCC3)=O)N)C#N)cc(cc1)OCC,N#CC1=C(N(C2CCCC(C=2[C@H]1c1c(OCC)ccc(c1)OCC)=O)c1c(C(F)(F)F)cccc1)N,CCOc1ccc(OCC)c(C2C(C#N)=C(N)N(c3ccccc3C(F)(F)F)C3=C2C(=O)CCC3)c1,CCOC1=CC=C(OCC)C([C@H]2C(C#N)=C(N)N(C3=CC=CC=C3C(F)(F)F)C3=C2C(=O)CCC3)=C1,[CH3][CH2][O][c]1[cH][cH][c]([O][CH2][CH3])[c]([C@H]2[C]([C]#[N])=[C]([NH2])[N]([c]3[cH][cH][cH][cH][c]3[C]([F])([F])[F])[C]3=[C]2[C](=[O])[CH2][CH2][CH2]3)[cH]1,CCOc1cccOCCc[C@H]2CC#N=CNNc3ccccc3CFFFC3=C2C=OCCC3c1,CCOc1ccc(OCC)c([C@H]2C(C#N)=C(N)N(c3ccccc3C(F)(F)F)C3=C2C(=O)CCC3)c1
"Cc1ccc2nc(S[C@H](C)C(=O)NC3CCC(C)CC3)n(C)c(=O)c2c1
",3.41742,0.645397635,2.692305637,Cc1ccc2nc(S[C@H](C)C(=O)NC3CCC(C)CC3)n(C)c(=O)c2c1,CC1CCC(CC1)NC([C@@H](C)Sc1n(c(=O)c2cc(ccc2n1)C)C)=O,n1(C)c(S[C@@H](C(=O)NC2CCC(C)CC2)C)nc2ccc(cc2c1=O)C,Cc1ccc2nc(SC(C)C(=O)NC3CCC(C)CC3)n(C)c(=O)c2c1,CC1=CC=C2N=C(S[C@H](C)C(=O)NC3CCC(C)CC3)N(C)C(=O)C2=C1,[CH3][c]1[cH][cH][c]2[n][c]([S][C@H]([CH3])[C](=[O])[NH][CH]3[CH2][CH2][CH]([CH3])[CH2][CH2]3)[n]([CH3])[c](=[O])[c]2[cH]1,Cc1ccc2ncS[C@H]CC=ONC3CCCCCC3nCc=Oc2c1,Cc1ccc2nc(S[C@H](C)C(=O)NC3CCC(C)CC3)n(C)c(=O)c2c1
"O=C(N1CCc2c(F)ccc(F)c2C1)C1(O)Cc2ccccc2C1
",2.3794,0.873135846,2.733199772,O=C(N1CCc2c(F)ccc(F)c2C1)C1(O)Cc2ccccc2C1,c12ccccc1CC(C2)(O)C(N1CCc2c(F)ccc(F)c2C1)=O,c1cc(F)c2c(CCN(C2)C(=O)C2(Cc3ccccc3C2)O)c1F,O=C(N1CCc2c(F)ccc(F)c2C1)C1(O)Cc2ccccc2C1,O=C(N1CCC2=C(F)C=CC(F)=C2C1)C1(O)CC2=CC=CC=C2C1,[O]=[C]([N]1[CH2][CH2][c]2[c]([F])[cH][cH][c]([F])[c]2[CH2]1)[C]1([OH])[CH2][c]2[cH][cH][cH][cH][c]2[CH2]1,O=CN1CCc2cFcccFc2C1C1OCc2ccccc2C1,O=C(N1CCc2c(F)ccc(F)c2C1)C1(O)Cc2ccccc2C1
"Cc1ccccc1C(=O)N1CCC2(CC1)C[C@H](c1ccccc1)C(=O)N2C
",3.61572,0.797803835,3.350352283,Cc1ccccc1C(=O)N1CCC2(CC1)C[C@H](c1ccccc1)C(=O)N2C,C1C2(CCN(C1)C(=O)c1ccccc1C)N(C)C([C@H](C2)c1ccccc1)=O,O=C(N1CCC2(CC1)C[C@@H](C(=O)N2C)c1ccccc1)c1c(cccc1)C,Cc1ccccc1C(=O)N1CCC2(CC1)CC(c1ccccc1)C(=O)N2C,CC1=CC=CC=C1C(=O)N1CCC2(CC1)C[C@H](C1=CC=CC=C1)C(=O)N2C,[CH3][c]1[cH][cH][cH][cH][c]1[C](=[O])[N]1[CH2][CH2][C]2([CH2][CH2]1)[CH2][C@H]([c]1[cH][cH][cH][cH][cH]1)[C](=[O])[N]2[CH3],Cc1ccccc1C=ON1CCC2CC1C[C@H]c1ccccc1C=ON2C,Cc1ccccc1C(=O)N1CCC2(CC1)C[C@H](c1ccccc1)C(=O)N2C
"CCCc1cc(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)n(C)n1
",1.8118,0.787345956,3.077567176,CCCc1cc(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)n(C)n1,C(Cc1cc(n(C)n1)NC(=O)CN1C(=O)NC2(C1=O)CCC(C)CC2)C,C12(CCC(C)CC2)C(=O)N(C(N1)=O)CC(Nc1cc(CCC)nn1C)=O,CCCc1cc(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)n(C)n1,CCCC1=NN(C)C(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)=C1,[CH3][CH2][CH2][c]1[cH][c]([NH][C](=[O])[CH2][N]2[C](=[O])[NH][C]3([CH2][CH2][CH]([CH3])[CH2][CH2]3)[C]2=[O])[n]([CH3])[n]1,CCCc1ccNC=OCN2C=ONC3CCCCCC3C2=OnCn1,CCCc1cc(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)n(C)n1
"CC(C)Cc1nc(SCC(=O)NC[C@@H]2CCCO2)c2c(=O)n(C)c(=O)n(C)c2n1
",0.613,0.52505238,3.112533377,CC(C)Cc1nc(SCC(=O)NC[C@@H]2CCCO2)c2c(=O)n(C)c(=O)n(C)c2n1,n1c2n(c(n(C)c(=O)c2c(nc1CC(C)C)SCC(=O)NC[C@H]1OCCC1)=O)C,C(c1nc2n(C)c(n(c(c2c(SCC(=O)NC[C@@H]2CCCO2)n1)=O)C)=O)C(C)C,CC(C)Cc1nc(SCC(=O)NCC2CCCO2)c2c(=O)n(C)c(=O)n(C)c2n1,CC(C)CC1=NC(SCC(=O)NC[C@@H]2CCCO2)=C2C(=O)N(C)C(=O)N(C)C2=N1,[CH3][CH]([CH3])[CH2][c]1[n][c]([S][CH2][C](=[O])[NH][CH2][C@@H]2[CH2][CH2][CH2][O]2)[c]2[c](=[O])[n]([CH3])[c](=[O])[n]([CH3])[c]2[n]1,CCCCc1ncSCC=ONC[C@@H]2CCCO2c2c=OnCc=OnCc2n1,CC(C)Cc1nc(SCC(=O)NC[C@@H]2CCCO2)c2c(=O)n(C)c(=O)n(C)c2n1
"Cc1ccc(CNC(=O)c2ccccc2NC(=O)[C@@H]2CC(=O)N(c3ccc(C)cc3)C2)cc1
",4.22504,0.577048776,2.429037406,Cc1ccc(CNC(=O)c2ccccc2NC(=O)[C@@H]2CC(=O)N(c3ccc(C)cc3)C2)cc1,c1c(ccc(CNC(c2c(NC([C@H]3CN(c4ccc(cc4)C)C(=O)C3)=O)cccc2)=O)c1)C,c1(ccc(C)cc1)CNC(=O)c1c(cccc1)NC([C@@H]1CC(=O)N(c2ccc(cc2)C)C1)=O,Cc1ccc(CNC(=O)c2ccccc2NC(=O)C2CC(=O)N(c3ccc(C)cc3)C2)cc1,CC1=CC=C(CNC(=O)C2=CC=CC=C2NC(=O)[C@@H]2CC(=O)N(C3=CC=C(C)C=C3)C2)C=C1,[CH3][c]1[cH][cH][c]([CH2][NH][C](=[O])[c]2[cH][cH][cH][cH][c]2[NH][C](=[O])[C@@H]2[CH2][C](=[O])[N]([c]3[cH][cH][c]([CH3])[cH][cH]3)[CH2]2)[cH][cH]1,Cc1cccCNC=Oc2ccccc2NC=O[C@@H]2CC=ONc3cccCcc3C2cc1,Cc1ccc(CNC(=O)c2ccccc2NC(=O)[C@@H]2CC(=O)N(c3ccc(C)cc3)C2)cc1
"CCCCC(=O)NC(=S)Nc1ccccc1C(=O)N1CCOCC1
",2.1622,0.800069613,2.037915157,CCCCC(=O)NC(=S)Nc1ccccc1C(=O)N1CCOCC1,C(CCC(NC(=S)Nc1ccccc1C(N1CCOCC1)=O)=O)C,c1ccc(C(N2CCOCC2)=O)c(c1)NC(=S)NC(=O)CCCC,CCCCC(=O)NC(=S)Nc1ccccc1C(=O)N1CCOCC1,CCCCC(=O)NC(=S)NC1=CC=CC=C1C(=O)N1CCOCC1,[CH3][CH2][CH2][CH2][C](=[O])[NH][C](=[S])[NH][c]1[cH][cH][cH][cH][c]1[C](=[O])[N]1[CH2][CH2][O][CH2][CH2]1,CCCCC=ONC=SNc1ccccc1C=ON1CCOCC1,CCCCC(=O)NC(=S)Nc1ccccc1C(=O)N1CCOCC1
"Cc1c(NC(=O)CSc2nc3sc4c(c3c(=O)[nH]2)CCCC4)c(=O)n(-c2ccccc2)n1C
",3.39202,0.329473892,2.622177707,Cc1c(NC(=O)CSc2nc3sc4c(c3c(=O)[nH]2)CCCC4)c(=O)n(-c2ccccc2)n1C,c1cccc(-n2c(c(c(C)n2C)NC(=O)CSc2nc3c(c4CCCCc4s3)c(=O)[nH]2)=O)c1,c12c3c(=O)[nH]c(SCC(Nc4c(=O)n(n(C)c4C)-c4ccccc4)=O)nc3sc1CCCC2,Cc1c(NC(=O)CSc2nc3sc4c(c3c(=O)[nH]2)CCCC4)c(=O)n(-c2ccccc2)n1C,CC1=C(NC(=O)CSC2=NC3=C(C4=C(CCCC4)S3)C(=O)N2)C(=O)N(C2=CC=CC=C2)N1C,[CH3][c]1[c]([NH][C](=[O])[CH2][S][c]2[n][c]3[s][c]4[c]([c]3[c](=[O])[nH]2)[CH2][CH2][CH2][CH2]4)[c](=[O])[n](-[c]2[cH][cH][cH][cH][cH]2)[n]1[CH3],Cc1cNC=OCSc2nc3sc4cc3c=O[nH]2CCCC4c=On-c2ccccc2n1C,Cc1c(NC(=O)CSc2nc3sc4c(c3c(=O)[nH]2)CCCC4)c(=O)n(-c2ccccc2)n1C
"CC(C)[C@@H](Oc1cccc(Cl)c1)C(=O)N1CCC(n2cccn2)CC1
",3.8036,0.788499105,2.940469367,CC(C)[C@@H](Oc1cccc(Cl)c1)C(=O)N1CCC(n2cccn2)CC1,C1CN(CCC1n1nccc1)C([C@H](Oc1cccc(c1)Cl)C(C)C)=O,C1(CCN(CC1)C([C@H](Oc1cc(ccc1)Cl)C(C)C)=O)n1nccc1,CC(C)C(Oc1cccc(Cl)c1)C(=O)N1CCC(n2cccn2)CC1,CC(C)[C@@H](OC1=CC=CC(Cl)=C1)C(=O)N1CCC(N2C=CC=N2)CC1,[CH3][CH]([CH3])[C@@H]([O][c]1[cH][cH][cH][c]([Cl])[cH]1)[C](=[O])[N]1[CH2][CH2][CH]([n]2[cH][cH][cH][n]2)[CH2][CH2]1,CCC[C@@H]Oc1ccccClc1C=ON1CCCn2cccn2CC1,CC(C)[C@@H](Oc1cccc(Cl)c1)C(=O)N1CCC(n2cccn2)CC1
"CCN(CC)C(=O)C[C@@H](C)[NH2+][C@H](C)c1cccc(F)c1F
",2.2362,0.825487808,3.878253819,CCN(CC)C(=O)C[C@@H](C)[NH2+][C@H](C)c1cccc(F)c1F,C(C)N(C(C[C@@H](C)[NH2+][C@H](C)c1c(c(F)ccc1)F)=O)CC,c1ccc([C@@H](C)[NH2+][C@@H](CC(=O)N(CC)CC)C)c(c1F)F,CCN(CC)C(=O)CC(C)[NH2+]C(C)c1cccc(F)c1F,CCN(CC)C(=O)C[C@@H](C)[NH2+][C@H](C)C1=CC=CC(F)=C1F,[CH3][CH2][N]([CH2][CH3])[C](=[O])[CH2][C@@H]([CH3])[NH2+][C@H]([CH3])[c]1[cH][cH][cH][c]([F])[c]1[F],CCNCCC=OC[C@@H]C[NH2+][C@H]Cc1ccccFc1F,CCN(CC)C(=O)C[C@@H](C)[NH2+][C@H](C)c1cccc(F)c1F
"Cc1nc2c(c(Nc3ncc(C)s3)n1)CCN(C(=O)CCc1ccccc1)C2
",3.81104,0.69178968,2.545686177,Cc1nc2c(c(Nc3ncc(C)s3)n1)CCN(C(=O)CCc1ccccc1)C2,c1(c2c(CN(CC2)C(=O)CCc2ccccc2)nc(n1)C)Nc1sc(cn1)C,c1(nc(c2c(CN(C(=O)CCc3ccccc3)CC2)n1)Nc1ncc(s1)C)C,Cc1nc2c(c(Nc3ncc(C)s3)n1)CCN(C(=O)CCc1ccccc1)C2,CC1=NC2=C(CCN(C(=O)CCC3=CC=CC=C3)C2)C(NC2=NC=C(C)S2)=N1,[CH3][c]1[n][c]2[c]([c]([NH][c]3[n][cH][c]([CH3])[s]3)[n]1)[CH2][CH2][N]([C](=[O])[CH2][CH2][c]1[cH][cH][cH][cH][cH]1)[CH2]2,Cc1nc2ccNc3nccCs3n1CCNC=OCCc1ccccc1C2,Cc1nc2c(c(Nc3ncc(C)s3)n1)CCN(C(=O)CCc1ccccc1)C2
"O=C(NCCNC(=O)N1C[C@H]2CC=CC[C@@H]2C1)c1cccnc1
",1.419,0.658574943,3.194352211,O=C(NCCNC(=O)N1C[C@H]2CC=CC[C@@H]2C1)c1cccnc1,c1cncc(C(=O)NCCNC(=O)N2C[C@H]3CC=CC[C@@H]3C2)c1,c1(C(NCCNC(=O)N2C[C@H]3CC=CC[C@@H]3C2)=O)cnccc1,O=C(NCCNC(=O)N1CC2CC=CCC2C1)c1cccnc1,O=C(NCCNC(=O)N1C[C@H]2CC=CC[C@@H]2C1)C1=CC=CN=C1,[O]=[C]([NH][CH2][CH2][NH][C](=[O])[N]1[CH2][C@H]2[CH2][CH]=[CH][CH2][C@@H]2[CH2]1)[c]1[cH][cH][cH][n][cH]1,O=CNCCNC=ON1C[C@H]2CC=CC[C@@H]2C1c1cccnc1,O=C(NCCNC(=O)N1C[C@H]2CC=CC[C@@H]2C1)c1cccnc1
"O=c1n(CCO)c2ccccc2n1CCO
",-0.2124,0.776598469,2.108634629,O=c1n(CCO)c2ccccc2n1CCO,n1(CCO)c(n(c2c1cccc2)CCO)=O,c1(=O)n(c2c(n1CCO)cccc2)CCO,O=c1n(CCO)c2ccccc2n1CCO,O=C1N(CCO)C2=CC=CC=C2N1CCO,[O]=[c]1[n]([CH2][CH2][OH])[c]2[cH][cH][cH][cH][c]2[n]1[CH2][CH2][OH],O=c1nCCOc2ccccc2n1CCO,O=c1n(CCO)c2ccccc2n1CCO
"COC(=O)Cc1csc(NC(=O)Cc2coc3cc(C)ccc23)n1
",3.09442,0.710428909,2.308817193,COC(=O)Cc1csc(NC(=O)Cc2coc3cc(C)ccc23)n1,c1(CC(Nc2nc(CC(=O)OC)cs2)=O)coc2c1ccc(C)c2,C(C(Nc1scc(n1)CC(OC)=O)=O)c1c2c(cc(C)cc2)oc1,COC(=O)Cc1csc(NC(=O)Cc2coc3cc(C)ccc23)n1,COC(=O)CC1=CSC(NC(=O)CC2=COC3=CC(C)=CC=C23)=N1,[CH3][O][C](=[O])[CH2][c]1[cH][s][c]([NH][C](=[O])[CH2][c]2[cH][o][c]3[cH][c]([CH3])[cH][cH][c]23)[n]1,COC=OCc1cscNC=OCc2coc3ccCccc23n1,COC(=O)Cc1csc(NC(=O)Cc2coc3cc(C)ccc23)n1
"Cc1ccc(N2CC[C@@H](NS(=O)(=O)c3ccccc3C)C2=O)cc1C
",2.69566,0.909748572,2.595621197,Cc1ccc(N2CC[C@@H](NS(=O)(=O)c3ccccc3C)C2=O)cc1C,C1(N(c2cc(C)c(C)cc2)CC[C@H]1NS(c1ccccc1C)(=O)=O)=O,c1(C)ccccc1S(=O)(N[C@H]1C(=O)N(CC1)c1cc(C)c(cc1)C)=O,Cc1ccc(N2CCC(NS(=O)(=O)c3ccccc3C)C2=O)cc1C,CC1=CC=C(N2CC[C@@H](NS(=O)(=O)C3=CC=CC=C3C)C2=O)C=C1C,[CH3][c]1[cH][cH][c]([N]2[CH2][CH2][C@@H]([NH][S](=[O])(=[O])[c]3[cH][cH][cH][cH][c]3[CH3])[C]2=[O])[cH][c]1[CH3],Cc1cccN2CC[C@@H]NS=O=Oc3ccccc3CC2=Occ1C,Cc1ccc(N2CC[C@@H](NS(=O)(=O)c3ccccc3C)C2=O)cc1C
"CC[C@H](C)C[C@@H](C)NC(=O)N1CCN(CC(=O)NC2CC2)CC1
",1.4169,0.751938376,2.906806565,CC[C@H](C)C[C@@H](C)NC(=O)N1CCN(CC(=O)NC2CC2)CC1,[C@@H](CC)(C)C[C@@H](C)NC(=O)N1CCN(CC(NC2CC2)=O)CC1,C1N(C(N[C@@H](C[C@H](CC)C)C)=O)CCN(C1)CC(NC1CC1)=O,CCC(C)CC(C)NC(=O)N1CCN(CC(=O)NC2CC2)CC1,CC[C@H](C)C[C@@H](C)NC(=O)N1CCN(CC(=O)NC2CC2)CC1,[CH3][CH2][C@H]([CH3])[CH2][C@@H]([CH3])[NH][C](=[O])[N]1[CH2][CH2][N]([CH2][C](=[O])[NH][CH]2[CH2][CH2]2)[CH2][CH2]1,CC[C@H]CC[C@@H]CNC=ON1CCNCC=ONC2CC2CC1,CC[C@H](C)C[C@@H](C)NC(=O)N1CCN(CC(=O)NC2CC2)CC1
